,Number,Average_Rating,Total_members
Shoujo,642,6.8768068535825515,15260524
Historical,798,6.746215538847113,11372418
Mystery,485,7.232412371134019,26813458
Romance,1437,6.999053583855254,65405849
Magic,747,6.805890227576983,20820090
Mecha,929,6.644790096878365,14860999
Seinen,532,6.966353383458643,23026160
Adventure,2316,6.742538860103616,45221733
Drama,1977,6.977218007081442,57850494
Supernatural,1001,7.000379620379622,56474412
Ecchi,628,6.666640127388537,24913978
Fantasy,2242,6.673670829616399,56475235
Action,2768,6.787149566473988,94506605
Comedy,4575,6.622402185792344,106442956
School,1176,6.972049319727899,54700945
Shounen,1745,7.054641833810886,55099478
Military,416,7.004903846153842,12148967
Sci-Fi,2036,6.701488212180756,44505355
